timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1716994560000,2024-05-29T14:56:00Z,101-1-1-0005,generic,
1716994620000,2024-05-29T14:57:00Z,101-1-1-0005,generic,
1716994680000,2024-05-29T14:58:00Z,101-1-1-0005,generic,
1716994740000,2024-05-29T14:59:00Z,101-1-1-0005,generic,
1716994800000,2024-05-29T15:00:00Z,101-1-1-0005,generic,
1716994860000,2024-05-29T15:01:00Z,101-1-1-0005,still,
1716994920000,2024-05-29T15:02:00Z,101-1-1-0005,generic,
1716994980000,2024-05-29T15:03:00Z,101-1-1-0005,generic,
1716995040000,2024-05-29T15:04:00Z,101-1-1-0005,generic,
1716995100000,2024-05-29T15:05:00Z,101-1-1-0005,walking,
1716995160000,2024-05-29T15:06:00Z,101-1-1-0005,generic,
1716995220000,2024-05-29T15:07:00Z,101-1-1-0005,generic,
1716995280000,2024-05-29T15:08:00Z,101-1-1-0005,still,
1716995340000,2024-05-29T15:09:00Z,101-1-1-0005,still,
1716995400000,2024-05-29T15:10:00Z,101-1-1-0005,still,
1716995460000,2024-05-29T15:11:00Z,101-1-1-0005,still,
1716995520000,2024-05-29T15:12:00Z,101-1-1-0005,generic,
1716995580000,2024-05-29T15:13:00Z,101-1-1-0005,generic,
1716995640000,2024-05-29T15:14:00Z,101-1-1-0005,generic,
1716995700000,2024-05-29T15:15:00Z,101-1-1-0005,generic,
1716995760000,2024-05-29T15:16:00Z,101-1-1-0005,generic,
1716995820000,2024-05-29T15:17:00Z,101-1-1-0005,generic,
1716995880000,2024-05-29T15:18:00Z,101-1-1-0005,generic,
1716995940000,2024-05-29T15:19:00Z,101-1-1-0005,generic,
1716996000000,2024-05-29T15:20:00Z,101-1-1-0005,generic,
1716996060000,2024-05-29T15:21:00Z,101-1-1-0005,generic,
1716996120000,2024-05-29T15:22:00Z,101-1-1-0005,generic,
1716996180000,2024-05-29T15:23:00Z,101-1-1-0005,generic,
1716996240000,2024-05-29T15:24:00Z,101-1-1-0005,generic,
1716996300000,2024-05-29T15:25:00Z,101-1-1-0005,generic,
1716996360000,2024-05-29T15:26:00Z,101-1-1-0005,generic,
1716996420000,2024-05-29T15:27:00Z,101-1-1-0005,generic,
1716996480000,2024-05-29T15:28:00Z,101-1-1-0005,still,
1716996540000,2024-05-29T15:29:00Z,101-1-1-0005,generic,
1716996600000,2024-05-29T15:30:00Z,101-1-1-0005,generic,
1716996660000,2024-05-29T15:31:00Z,101-1-1-0005,generic,
1716996720000,2024-05-29T15:32:00Z,101-1-1-0005,still,
1716996780000,2024-05-29T15:33:00Z,101-1-1-0005,generic,
1716996840000,2024-05-29T15:34:00Z,101-1-1-0005,generic,
1716996900000,2024-05-29T15:35:00Z,101-1-1-0005,generic,
1716996960000,2024-05-29T15:36:00Z,101-1-1-0005,generic,
1716997020000,2024-05-29T15:37:00Z,101-1-1-0005,generic,
1716997080000,2024-05-29T15:38:00Z,101-1-1-0005,generic,
1716997140000,2024-05-29T15:39:00Z,101-1-1-0005,generic,
1716997200000,2024-05-29T15:40:00Z,101-1-1-0005,generic,
1716997260000,2024-05-29T15:41:00Z,101-1-1-0005,generic,
1716997320000,2024-05-29T15:42:00Z,101-1-1-0005,still,
1716997380000,2024-05-29T15:43:00Z,101-1-1-0005,generic,
1716997440000,2024-05-29T15:44:00Z,101-1-1-0005,still,
1716997500000,2024-05-29T15:45:00Z,101-1-1-0005,generic,
1716997560000,2024-05-29T15:46:00Z,101-1-1-0005,generic,
1716997620000,2024-05-29T15:47:00Z,101-1-1-0005,generic,
1716997680000,2024-05-29T15:48:00Z,101-1-1-0005,still,
1716997740000,2024-05-29T15:49:00Z,101-1-1-0005,generic,
1716997800000,2024-05-29T15:50:00Z,101-1-1-0005,generic,
1716997860000,2024-05-29T15:51:00Z,101-1-1-0005,generic,
1716997920000,2024-05-29T15:52:00Z,101-1-1-0005,still,
1716997980000,2024-05-29T15:53:00Z,101-1-1-0005,generic,
1716998040000,2024-05-29T15:54:00Z,101-1-1-0005,generic,
1716998100000,2024-05-29T15:55:00Z,101-1-1-0005,generic,
1716998160000,2024-05-29T15:56:00Z,101-1-1-0005,generic,
1716998220000,2024-05-29T15:57:00Z,101-1-1-0005,still,
1716998280000,2024-05-29T15:58:00Z,101-1-1-0005,generic,
1716998340000,2024-05-29T15:59:00Z,101-1-1-0005,generic,
1716998400000,2024-05-29T16:00:00Z,101-1-1-0005,generic,
1716998460000,2024-05-29T16:01:00Z,101-1-1-0005,generic,
1716998520000,2024-05-29T16:02:00Z,101-1-1-0005,generic,
1716998580000,2024-05-29T16:03:00Z,101-1-1-0005,still,
1716998640000,2024-05-29T16:04:00Z,101-1-1-0005,still,
1716998700000,2024-05-29T16:05:00Z,101-1-1-0005,still,
1716998760000,2024-05-29T16:06:00Z,101-1-1-0005,generic,
1716998820000,2024-05-29T16:07:00Z,101-1-1-0005,generic,
1716998880000,2024-05-29T16:08:00Z,101-1-1-0005,still,
1716998940000,2024-05-29T16:09:00Z,101-1-1-0005,still,
1716999000000,2024-05-29T16:10:00Z,101-1-1-0005,generic,
1716999060000,2024-05-29T16:11:00Z,101-1-1-0005,generic,
1716999120000,2024-05-29T16:12:00Z,101-1-1-0005,generic,
1716999180000,2024-05-29T16:13:00Z,101-1-1-0005,generic,
1716999240000,2024-05-29T16:14:00Z,101-1-1-0005,generic,
1716999300000,2024-05-29T16:15:00Z,101-1-1-0005,generic,
1716999360000,2024-05-29T16:16:00Z,101-1-1-0005,generic,
1716999420000,2024-05-29T16:17:00Z,101-1-1-0005,generic,
1716999480000,2024-05-29T16:18:00Z,101-1-1-0005,generic,
1716999540000,2024-05-29T16:19:00Z,101-1-1-0005,generic,
1716999600000,2024-05-29T16:20:00Z,101-1-1-0005,generic,
1716999660000,2024-05-29T16:21:00Z,101-1-1-0005,generic,
1716999720000,2024-05-29T16:22:00Z,101-1-1-0005,generic,
1716999780000,2024-05-29T16:23:00Z,101-1-1-0005,generic,
1716999840000,2024-05-29T16:24:00Z,101-1-1-0005,generic,
1716999900000,2024-05-29T16:25:00Z,101-1-1-0005,generic,
1716999960000,2024-05-29T16:26:00Z,101-1-1-0005,generic,
1717000020000,2024-05-29T16:27:00Z,101-1-1-0005,still,
1717000080000,2024-05-29T16:28:00Z,101-1-1-0005,generic,
1717000140000,2024-05-29T16:29:00Z,101-1-1-0005,still,
1717000200000,2024-05-29T16:30:00Z,101-1-1-0005,still,
1717000260000,2024-05-29T16:31:00Z,101-1-1-0005,still,
1717000320000,2024-05-29T16:32:00Z,101-1-1-0005,still,
1717000380000,2024-05-29T16:33:00Z,101-1-1-0005,still,
1717000440000,2024-05-29T16:34:00Z,101-1-1-0005,still,
1717000500000,2024-05-29T16:35:00Z,101-1-1-0005,generic,
1717000560000,2024-05-29T16:36:00Z,101-1-1-0005,generic,
1717000620000,2024-05-29T16:37:00Z,101-1-1-0005,generic,
1717000680000,2024-05-29T16:38:00Z,101-1-1-0005,generic,
1717000740000,2024-05-29T16:39:00Z,101-1-1-0005,generic,
1717000800000,2024-05-29T16:40:00Z,101-1-1-0005,generic,
1717000860000,2024-05-29T16:41:00Z,101-1-1-0005,generic,
1717000920000,2024-05-29T16:42:00Z,101-1-1-0005,generic,
1717000980000,2024-05-29T16:43:00Z,101-1-1-0005,generic,
1717001040000,2024-05-29T16:44:00Z,101-1-1-0005,generic,
1717001100000,2024-05-29T16:45:00Z,101-1-1-0005,generic,
1717001160000,2024-05-29T16:46:00Z,101-1-1-0005,generic,
1717001220000,2024-05-29T16:47:00Z,101-1-1-0005,generic,
1717001280000,2024-05-29T16:48:00Z,101-1-1-0005,generic,
1717001340000,2024-05-29T16:49:00Z,101-1-1-0005,generic,
1717001400000,2024-05-29T16:50:00Z,101-1-1-0005,generic,
1717001460000,2024-05-29T16:51:00Z,101-1-1-0005,generic,
1717001520000,2024-05-29T16:52:00Z,101-1-1-0005,generic,
1717001580000,2024-05-29T16:53:00Z,101-1-1-0005,generic,
1717001640000,2024-05-29T16:54:00Z,101-1-1-0005,generic,
1717001700000,2024-05-29T16:55:00Z,101-1-1-0005,generic,
1717001760000,2024-05-29T16:56:00Z,101-1-1-0005,generic,
1717001820000,2024-05-29T16:57:00Z,101-1-1-0005,generic,
1717001880000,2024-05-29T16:58:00Z,101-1-1-0005,generic,
1717001940000,2024-05-29T16:59:00Z,101-1-1-0005,generic,
1717002000000,2024-05-29T17:00:00Z,101-1-1-0005,generic,
1717002060000,2024-05-29T17:01:00Z,101-1-1-0005,generic,
1717002120000,2024-05-29T17:02:00Z,101-1-1-0005,generic,
1717002180000,2024-05-29T17:03:00Z,101-1-1-0005,generic,
1717002240000,2024-05-29T17:04:00Z,101-1-1-0005,still,
1717002300000,2024-05-29T17:05:00Z,101-1-1-0005,still,
1717002360000,2024-05-29T17:06:00Z,101-1-1-0005,still,
1717002420000,2024-05-29T17:07:00Z,101-1-1-0005,generic,
1717002480000,2024-05-29T17:08:00Z,101-1-1-0005,generic,
1717002540000,2024-05-29T17:09:00Z,101-1-1-0005,generic,
1717002600000,2024-05-29T17:10:00Z,101-1-1-0005,generic,
1717002660000,2024-05-29T17:11:00Z,101-1-1-0005,still,
1717002720000,2024-05-29T17:12:00Z,101-1-1-0005,generic,
