timestamp,value,body_position,quality_indicator
1689065948,1015,2,4
1689065952,404,2,4
1689065956,174,2,4
1689065960,326,2,4
1689065964,70,2,4
1689065968,200,2,4
1689065972,541,2,4
1689065976,246,2,4
1689065980,173,2,4
1689065984,82,2,4
1689065988,74,2,4
1689065992,90,2,4
1689065996,1377,2,4
1689066000,337,2,4
1689066004,394,2,4
1689066008,491,2,4
1689066012,3702,2,4
1689066016,3398,2,4
1689066020,1834,2,4
1689066024,1087,2,4
1689066028,2945,2,4
1689066032,1263,2,4
1689066036,320,2,4
1689066040,222,2,4
1689066044,196,2,4
1689066048,178,2,4
1689066052,1104,2,4
1689066056,819,2,4
1689066060,246,2,4
1689066064,85,2,4
1689066068,1294,2,4
1689066072,171,2,4
1689066076,3839,2,4
1689066080,2004,2,4
1689066084,2255,2,4
1689066088,679,2,4
1689066092,526,2,4
1689066096,2013,2,4
1689066100,3362,2,4
1689066104,1177,2,4
1689066108,1376,2,4
1689066112,1721,2,4
1689066116,1265,2,4
1689066120,1980,2,4
1689066124,1469,2,4
1689066128,53,2,4
1689066132,41,2,4
1689066136,39,2,4
1689066140,47,2,4
1689066144,70,2,4
1689066148,63,2,4
1689066152,48,2,4
1689066156,43,2,4
1689066160,348,2,4
1689066164,609,2,4
1689066168,132,2,4
1689066172,113,2,4
1689066176,64,2,4
1689066180,74,2,4
1689066184,85,2,4
1689066188,84,2,4
1689066192,75,2,4
1689066196,68,2,4
1689066200,75,2,4
1689066204,54,2,4
1689066208,127,2,4
1689066212,36,2,4
1689066216,37,2,4
1689066220,33,2,4
1689066224,37,2,4
1689066228,727,2,4
1689066232,6573,2,4
1689066236,51,2,4
1689066240,2687,2,4
1689066244,3028,2,4
1689066248,791,2,4
1689066252,282,2,4
1689066256,467,2,4
1689066260,208,2,4
1689066264,251,2,4
1689066268,672,2,4
1689066272,508,2,4
1689066276,564,2,4
1689066280,950,2,4
1689066284,1215,2,4
1689066288,775,2,4
1689066292,791,2,4
1689066296,504,2,4
1689066300,670,2,4
1689066304,859,2,4
1689066308,665,2,4
1689066312,584,2,4
1689066316,562,2,4
1689066320,4983,2,4
1689066324,1183,2,4
1689066328,519,2,4
1689066332,1168,2,4
1689066336,1598,2,4
1689066340,1276,2,4
1689066344,563,2,4
1689066348,406,2,4
1689066352,1991,2,4
1689066356,5560,2,4
1689066360,3538,2,4
1689066364,2345,2,4
1689066368,1897,2,4
1689066372,89,2,4
1689066376,69,2,4
1689066380,1163,2,4
1689066384,197,2,4
1689066388,79,2,4
1689066392,1306,2,4
1689066396,9647,2,4
1689066400,418,2,4
1689066404,253,2,4
1689066408,890,2,4
1689066412,583,2,4
1689066416,1491,2,4
1689066420,2237,2,4
1689066424,129,2,4
1689066428,2888,2,4
1689066432,705,2,4
1689066436,6298,2,4
1689066440,1411,2,4
