timestamp_unix,timestamp_iso,participant_full_id,temperature_celsius,missing_value_reason
1673152260000,2023-01-08T04:31:00Z,101-1-1-0004,30.78,
1673152320000,2023-01-08T04:32:00Z,101-1-1-0004,30.75,
1673152380000,2023-01-08T04:33:00Z,101-1-1-0004,30.73,
1673152440000,2023-01-08T04:34:00Z,101-1-1-0004,30.71,
1673152500000,2023-01-08T04:35:00Z,101-1-1-0004,30.69,
1673152560000,2023-01-08T04:36:00Z,101-1-1-0004,30.68,
1673152620000,2023-01-08T04:37:00Z,101-1-1-0004,30.68,
1673152680000,2023-01-08T04:38:00Z,101-1-1-0004,30.68,
1673152740000,2023-01-08T04:39:00Z,101-1-1-0004,30.69,
1673152800000,2023-01-08T04:40:00Z,101-1-1-0004,30.7,
1673152860000,2023-01-08T04:41:00Z,101-1-1-0004,30.69,
1673152920000,2023-01-08T04:42:00Z,101-1-1-0004,30.69,
1673152980000,2023-01-08T04:43:00Z,101-1-1-0004,30.69,
1673153040000,2023-01-08T04:44:00Z,101-1-1-0004,30.7,
1673153100000,2023-01-08T04:45:00Z,101-1-1-0004,30.71,
1673153160000,2023-01-08T04:46:00Z,101-1-1-0004,30.72,
1673153220000,2023-01-08T04:47:00Z,101-1-1-0004,30.73,
1673153280000,2023-01-08T04:48:00Z,101-1-1-0004,30.74,
1673153340000,2023-01-08T04:49:00Z,101-1-1-0004,30.76,
1673153400000,2023-01-08T04:50:00Z,101-1-1-0004,30.76,
1673153460000,2023-01-08T04:51:00Z,101-1-1-0004,30.77,
1673153520000,2023-01-08T04:52:00Z,101-1-1-0004,30.78,
1673153580000,2023-01-08T04:53:00Z,101-1-1-0004,30.78,
1673153640000,2023-01-08T04:54:00Z,101-1-1-0004,30.8,
1673153700000,2023-01-08T04:55:00Z,101-1-1-0004,30.81,
1673153760000,2023-01-08T04:56:00Z,101-1-1-0004,30.82,
1673153820000,2023-01-08T04:57:00Z,101-1-1-0004,30.83,
1673153880000,2023-01-08T04:58:00Z,101-1-1-0004,30.83,
1673153940000,2023-01-08T04:59:00Z,101-1-1-0004,30.84,
1673154000000,2023-01-08T05:00:00Z,101-1-1-0004,30.83,
1673154060000,2023-01-08T05:01:00Z,101-1-1-0004,30.83,
1673154120000,2023-01-08T05:02:00Z,101-1-1-0004,30.83,
